language,repo,commit,directory,file,function,project_type,status
noir,https://github.com/storswiftlabs/zkml-noir,,,,,
noir,https://github.com/olehmisar/vlayer-monorepo,,,,,
noir,https://github.com/manu-bhadoria/CSPRNG,,,,,
noir,https://github.com/zkpersona/noir_hmac,,,,, need to write a main
noir,https://github.com/zkpersona/noir_jwt,,,,,
noir,https://github.com/shield-labs-xyz/zklogin,,,,, https://github.com/shield-labs-xyz/zklogin/blob/main/packages/contracts/noir/jwt_account/src/main.nr
noir,https://github.com/oxor-io/samm-circuits,,,,, https://github.com/oxor-io/samm-circuits/blob/master/builds/samm_1024/src/main.nr
noir,https://github.com/1kx-network/zksafe,,,,,
noir,https://github.com/saleel/gitclaim,,,,,
noir,https://github.com/Mach-34/z-imburse,,,,,
noir,https://github.com/aragonzkresearch/nouns-anonymous-voting,,,,,
noir,https://github.com/anon-aadhaar/anon-aadhaar-noir,,,,,
noir,https://github.com/zk-passport/openpassport,,,,, seems incomplete
noir,https://github.com/saleel/stealthnote,,,,,
